Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sr,6-7,Chad Baker-Mazara,USC,B10,78.4,4.6,7.8,118.2,27.1,53.0,61.1,2.3,13.1,21.3,15.9,4.9,1.4,49.3,54-105,.514,10.9,35-96,.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Jr,6-0,Colby Garland,San Jose St.,MWC,77.1,4.6,4.8,116.4,28.9,52.6,58.5,2.3,12.4,29.3,15.6,0.3,2.1,35.9,80-151,.530,5.7,15-44,.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sr,6-8,Alex Karaban,Connecticut,BE,83.0,4.6,8.7,130.4,17.3,59.3,61.8,6.2,12.3,10.7,8.4,3.4,1.7,17.4,53-98,.541,8.3,35-80,.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Sr,6-3,Nick Boyd,Wisconsin,B10,72.4,4.6,7.3,118.8,30.0,53.6,58.6,2.4,11.8,25.4,11.2,0.2,2.2,40.9,86-151,.570,8.9,23-74,.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Jr,6-2,Kory Mincy,George Mason,A10,88.4,4.6,6.3,131.1,20.6,57.3,63.4,1.4,9.7,20.3,9.7,0.2,1.9,39.1,47-89,.528,9.5,37-90,.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Sr,6-7,Tre White,Kansas,B12,77.5,4.5,8.2,121.5,22.7,58.4,64.6,7.7,15.4,12.1,16.5,1.8,1.6,55.0,48-87,.552,7.2,26-62,.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,So,6-2,Daniel Freitag,Buffalo,MAC,85.1,4.5,5.5,124.1,26.5,54.8,61.2,2.9,14.5,18.2,10.8,1.6,2.8,58.8,43-89,.483,11.0,36-88,.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,So,6-9,Kyle Jorgensen,Colorado St.,MWC,46.1,4.5,9.1,141.6,22.3,73.8,76.8,7.1,18.8,21.3,16.1,2.4,1.6,50.0,35-48,.729,7.2,16-32,.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sr,6-5,Tyler Lundblade,Belmont,MVC,85.5,4.5,4.5,133.9,17.2,62.7,66.8,0.7,6.5,8.5,7.8,0.0,0.8,28.0,21-36,.583,14.6,65-153,.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Sr,6-3,Emanuel Sharp,Houston,B12,72.5,4.5,10.5,128.1,23.3,55.0,59.5,3.5,8.2,12.7,9.1,0.9,2.5,30.2,38-76,.500,14.9,44-113,.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
